"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"id_ndp_edificio";"id_clase_ndp_edificio";"desc_ndp_edificio";"Cod_Postal";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"secuencial_local_PC";"Escalera";"id_planta_agrupado";"id_local_agrupado";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"id_periodo_terraza";"desc_periodo_terraza";"id_situacion_terraza";"desc_situacion_terraza";"Superficie_ES";"Superficie_RA";"Fecha_confir_ult_decreto_resol";"id_ndp_terraza";"id_clase_ndp_terraza";"desc_ndp_terraza";"rotulo"
"20001779";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"31011503";"1";"CALLE  NOGALES NUM 1   ";"28005";"439953,94";"4472946,75";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"43,43";"";"12/01/2015";"20007320";"1";"PASEO  ACACIAS NUM 39   ";"JEAN LOUIS DAVID"
"20001786";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"11008460";"1";"RONDA  TOLEDO NUM 18   ";"28005";"440088,99";"4473233,33";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"14,4";"14,4";"02/07/2014";"11008460";"1";"RONDA  TOLEDO NUM 18   ";"CAFETERIA RONDA DE TOLEDO"
"20001845";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"31024611";"1";"CALLE  EROS NUM 7  G";"28045";"442468,53";"4471807,44";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"32";"32";"04/09/2014";"31024611";"1";"CALLE  EROS NUM 7  G";"EL HAYEDO"
"20001890";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"31024609";"1";"CALLE  EROS NUM 7  E";"28045";"442496,3";"4471847,91";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"13,98";"13,98";"10/07/2014";"31024609";"1";"CALLE  EROS NUM 7  E";"CHURRERIA PATUCHURRO"
"20001901";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"31011524";"1";"CALLE  EROS NUM 16   ";"28045";"442431,21";"4471703,03";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"93,48";"55,04";"12/01/2015";"31033821";"1";"CALLE  PLANETA TIERRA NUM 4   ";"ELVIRREY DE SAN TELMO"
"20001916";"2";"ARGANZUELA          ";"205";"DELICIAS            ";"20139322";"1";"CALLE  GRANITO NUM 10   ";"28045";"441353,03";"4471722,34";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"51,66";"";"24/07/2014";"20139322";"1";"CALLE  GRANITO NUM 10   ";"JAPAN PEARL"
"20001935";"2";"ARGANZUELA          ";"205";"DELICIAS            ";"31023929";"1";"CALLE  PLOMO NUM 18  A";"28045";"441532,06";"4471907,67";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"17,28";"17,28";"16/06/2014";"31023929";"1";"CALLE  PLOMO NUM 18  A";"SMALL COFFE DRINK"
"20001954";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11008794";"1";"CALLE  AGUILON NUM 5   ";"28045";"440576,15";"4472340,29";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"20,75";"20,75";"30/03/2015";"11008794";"1";"CALLE  AGUILON NUM 5   ";"CERVECERIA TOMY"
"20001967";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"20138989";"1";"CALLE  SANGARCIA NUM 3   ";"28005";"439098,45";"4473123,88";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"19,8";"19,8";"08/06/2015";"20078246";"1";"CALLE  COBOS DE SEGOVIA NUM 30   ";"MUESTRA "AREZZO PIZZERIA" / BANDERIN "PIZZAREZZO""
"20001970";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"31011526";"1";"CALLE  EROS NUM 20   ";"28045";"442463,99";"4471731,15";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"60,27";"";"24/07/2014";"31011526";"1";"CALLE  EROS NUM 20   ";"RESTAURANTE DOÑA LAMBRA"
